run,map,method,development_map,episode,result,enemy_elimination,enemy_kills,JEV_input,JEV_output,game_seconds,wall_seconds
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_5z/jev,3s_vs_5z,jev_only,False,2,loss,0.0,0,121446,5048,9.286,10.985
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_5z/jev,3s_vs_5z,jev_only,False,3,loss,0.0,0,131075,5737,9.286,11.063
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_5z/jev,3s_vs_5z,jev_gpt6,False,1,loss,0.2,1,204320,5441,10.0,69.047
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_5z/jev,3s_vs_5z,jev_gpt6,False,2,loss,0.2,1,204676,5265,10.357,13.453
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_5z/jev,3s_vs_5z,jev_gpt6,False,3,loss,0.2,1,217986,5813,10.714,14.36
smac-hard/jev_runs/all-maps-20260921-001/1c3s5z/jev,1c3s5z,jev_only,False,1,loss,0.3333333333333333,3,469965,21682,13.571,32.719
smac-hard/jev_runs/all-maps-20260921-001/1c3s5z/jev,1c3s5z,jev_only,False,2,loss,0.5555555555555556,5,636759,29368,19.286,26.125
smac-hard/jev_runs/all-maps-20260921-001/1c3s5z/jev,1c3s5z,jev_only,False,3,loss,0.3333333333333333,3,482049,22075,14.286,20.406
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/1c3s5z/jev,1c3s5z,jev_gpt6,False,1,loss,0.5555555555555556,5,683548,22676,17.857,89.563
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/1c3s5z/jev,1c3s5z,jev_gpt6,False,2,loss,0.5555555555555556,5,643059,18986,17.857,86.047
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/1c3s5z/jev,1c3s5z,jev_gpt6,False,3,loss,0.5555555555555556,5,613811,19958,16.071,25.531
smac-hard/jev_runs/all-maps-20260921-001/2m_vs_1z/jev,2m_vs_1z,jev_only,False,1,loss,0.0,0,44853,1739,6.786,21.485
smac-hard/jev_runs/all-maps-20260921-001/2m_vs_1z/jev,2m_vs_1z,jev_only,False,2,loss,0.0,0,42177,1622,6.429,7.422
smac-hard/jev_runs/all-maps-20260921-001/2m_vs_1z/jev,2m_vs_1z,jev_only,False,3,loss,0.0,0,42904,1679,6.429,7.344
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2m_vs_1z/jev,2m_vs_1z,jev_gpt6,False,1,loss,0.0,0,98973,2150,8.214,61.422
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2m_vs_1z/jev,2m_vs_1z,jev_gpt6,False,2,loss,0.0,0,112356,2437,9.286,10.641
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2m_vs_1z/jev,2m_vs_1z,jev_gpt6,False,3,loss,0.0,0,112337,2437,9.286,10.578
smac-hard/jev_runs/all-maps-20260921-001/corridor/jev,corridor,jev_only,False,1,loss,0.5416666666666666,13,682157,32483,13.929,34.875
smac-hard/jev_runs/all-maps-20260921-001/corridor/jev,corridor,jev_only,False,2,loss,0.375,9,684123,33134,12.857,19.969
smac-hard/jev_runs/all-maps-20260921-001/corridor/jev,corridor,jev_only,False,3,loss,0.5833333333333334,14,698851,33038,14.286,22.625
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/corridor/jev,corridor,jev_gpt6,False,1,loss,0.625,15,778588,31424,18.214,98.719
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/corridor/jev,corridor,jev_gpt6,False,2,loss,0.625,15,822229,29382,21.786,31.969
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/corridor/jev,corridor,jev_gpt6,False,3,loss,0.5833333333333334,14,1032806,32658,27.5,56.188
smac-hard/jev_runs/all-maps-20260921-001/6h_vs_8z/jev,6h_vs_8z,jev_only,False,1,loss,0.0,0,178117,8590,6.429,24.657
smac-hard/jev_runs/all-maps-20260921-001/6h_vs_8z/jev,6h_vs_8z,jev_only,False,2,loss,0.0,0,180933,8530,6.786,8.75
smac-hard/jev_runs/all-maps-20260921-001/6h_vs_8z/jev,6h_vs_8z,jev_only,False,3,loss,0.125,1,190245,9118,7.143,9.75
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/6h_vs_8z/jev,6h_vs_8z,jev_gpt6,False,1,loss,0.375,3,284728,9982,9.286,72.25
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/6h_vs_8z/jev,6h_vs_8z,jev_gpt6,False,2,loss,0.375,3,266636,9351,8.571,10.86
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/6h_vs_8z/jev,6h_vs_8z,jev_gpt6,False,3,loss,0.375,3,272875,9480,8.929,11.64
smac-hard/jev_runs/all-maps-20260921-001/2s_vs_1sc/jev,2s_vs_1sc,jev_only,False,1,loss,0.0,0,104732,3898,16.071,32.157
