track,method,scope,map,development_map,run,method_name,episodes,result,wall_seconds,game_seconds,JEV_requests,GPT6_requests,JEV_usd,GPT6_usd,JEV_input,JEV_output,GPT6_input,GPT6_output,GPT6_cached,GPT6_cache_write,JEV_known_responses,GPT6_known_responses,JEV_unknown_attempts,GPT6_unknown_attempts,total_usd,JEV_n,JEV_median_ms,JEV_p95_ms,JEV_p90_ms,JEV_max_ms,JEV_mean_ms,GPT6_n,GPT6_median_ms,GPT6_p95_ms,GPT6_p90_ms,GPT6_max_ms,GPT6_mean_ms,level,seed,first_attack_seconds,replay_game_seconds
micro,jev_only,main,so_many_baneling,False,smac-hard/jev_runs/all-maps-20260921-001/so_many_baneling/jev,JEV-only,3,,43.516,18.570999999999998,137,0,0.070764918,0.0,1684879,26318,0,0,0,0,137,0,0,0,0.070764918,137,484.00000000401633,678.2000000050172,625.0,1125.0,507.5328467154292,0,,,,,,,,,
micro,jev_gpt6,main,so_many_baneling,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/so_many_baneling/jev,JEV + GPT-6,3,,81.39,18.928,96,1,0.063449106,0.52006,1510693,24085,48531,695,0,0,96,1,0,0,0.5835091059999999,96,500.0,582.0000000057917,562.5,1389.999999999418,518.2083333332533,1,31422.000000005937,31422.000000005937,31422.000000005937,31422.000000005937,31422.000000005937,,,,
micro,jev_only,main,bane_vs_bane,False,smac-hard/jev_runs/all-maps-20260921-001/bane_vs_bane/jev-retry-20260922-003027-436916,JEV-only,3,,85.578,29.643,302,0,0.21151926599999987,0.0,5036173,199156,0,0,0,0,302,0,0,0,0.21151926599999987,302,531.0000000026776,780.2500000027064,671.9999999986612,1516.0000000032596,558.6556291391449,0,,,,,,,,,
micro,jev_gpt6,main,bane_vs_bane,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/bane_vs_bane/jev-retry-20260922-201819-687502,JEV + GPT-6,3,,101.703,18.214,237,1,0.18449789400000005,1.06017,4392807,162572,102297,744,0,0,237,1,0,0,1.244667894,237,531.0000000026776,608.9999999967404,593.4000000037486,5828.9999999979045,620.7299578058355,1,35375.0,35375.0,35375.0,35375.0,35375.0,,,,
micro,jev_only,main,2c_vs_64zg,False,smac-hard/jev_runs/all-maps-20260921-001/2c_vs_64zg/jev,JEV-only,3,,50.985,22.143,94,0,0.05217597000000003,0.0,1242285,42977,0,0,0,0,94,0,0,0,0.05217597000000003,94,500.0,761.6499999960065,620.5000000001746,2343.9999999973224,551.3510638297606,0,,,,,,,,,
micro,jev_gpt6,main,2c_vs_64zg,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2c_vs_64zg/jev,JEV + GPT-6,3,,121.359,53.929,151,1,0.07434084000000002,0.33657,1770020,64092,37109,692,7680,0,151,1,0,0,0.41091084,151,467.99999999348074,531.9999999992433,516.0000000032596,1343.9999999973224,469.40397350948274,1,29921.000000002095,29921.000000002095,29921.000000002095,29921.000000002095,29921.000000002095,,,,
micro,jev_only,main,2vr_vs_3sc,False,smac-hard/jev_runs/all-maps-20260921-001/2vr_vs_3sc/jev-retry-20260922-003154-123594,JEV-only,3,,43.407,23.928,67,0,0.00790797,0.0,188285,6217,0,0,0,0,67,0,0,0,0.00790797,67,406.00000000267755,583.6999999999533,475.4000000029919,1030.9999999954016,426.1044776117092,0,,,,,,,,,
micro,jev_gpt6,main,2vr_vs_3sc,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2vr_vs_3sc/jev,JEV + GPT-6,3,,69.907,24.285,68,1,0.013944000000000002,0.17509,332000,6368,14204,661,0,0,68,1,0,0,0.189034,68,406.00000000267755,494.39999999885913,452.9999999984284,1233.9999999967404,425.0735294119616,1,25968.000000008033,25968.000000008033,25968.000000008033,25968.000000008033,25968.000000008033,,,,
micro,jev_only,main,3hl_vs_24zl,False,smac-hard/jev_runs/all-maps-20260921-001/3hl_vs_24zl/jev,JEV-only,3,,40.641,20.000999999999998,56,0,0.019947438,0.0,474939,22254,0,0,0,0,56,0,0,0,0.019947438,56,468.4999999990396,667.7500000023429,578.0000000013388,875.0,480.9107142852684,0,,,,,,,,,
micro,jev_gpt6,main,3hl_vs_24zl,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3hl_vs_24zl/jev,JEV + GPT-6,3,,87.172,22.143,62,1,0.025010748000000006,0.19252,595494,22888,15572,736,0,0,62,1,0,0,0.217530748,62,453.00000000861473,577.2499999940918,515.9000000028755,1233.9999999967404,469.7741935475102,1,43016.00000000326,43016.00000000326,43016.00000000326,43016.00000000326,43016.00000000326,,,,
