run,method,level,seed,game_seconds,workers,army_supply,supply_used,bases,minerals
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,365.17857142857144,32,14,48,1,125
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,370.17857142857144,31,11,45,1,170
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,375.17857142857144,31,11,45,1,165
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,380.17857142857144,32,11,46,1,60
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,385.17857142857144,32,13,48,1,60
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,390.17857142857144,33,14,50,1,70
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,395.17857142857144,33,16,52,1,80
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,400.17857142857144,34,18,55,1,20
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,405.17857142857144,34,18,55,1,115
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,410.17857142857144,35,20,58,1,40
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,415.17857142857144,36,20,58,1,35
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,420.17857142857144,35,22,60,1,90
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,425.17857142857144,36,22,61,1,135
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,430.17857142857144,36,22,61,1,235
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,435.17857142857144,36,22,61,1,100
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,440.17857142857144,36,22,61,1,205
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,445.17857142857144,36,22,61,1,145
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,450.17857142857144,37,24,64,1,95
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,455.17857142857144,37,24,64,1,90
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,460.17857142857144,38,26,67,1,40
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,465.17857142857144,38,28,69,1,90
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,470.17857142857144,39,28,69,1,180
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,475.17857142857144,39,30,72,1,30
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,480.17857142857144,39,30,72,1,130
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,485.17857142857144,40,32,74,1,100
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,490.17857142857144,40,32,75,1,115
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,495.17857142857144,40,32,75,1,45
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,500.17857142857144,41,32,76,1,85
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,505.17857142857144,41,34,78,1,110
